JournalId,journal
b431c5ac-4177-43e7-9f34-7ad1e57df071,Notre Dame J. Formal Log.
7b517a2d-2192-4bf3-a4c4-68dce3026520,J. Comput. Appl. Math.
4b651991-5953-46cc-8aac-8ed32b8a7ce4,CoRR
5e126584-5140-4a30-b0e1-2b49a08f570e,Comput. Commun. Rev.
5c1c29a9-f289-42e1-9a6c-380e246ca99a,IEEE Trans. Geosci. Remote. Sens.
ce19dc51-936e-49f1-8f46-77fbf259fda5,IEEE Trans. Syst. Man Cybern. Part A
6f9714de-77de-48b9-8832-ba81e210fa75,Comput. J.
c502ecb8-518c-41f2-ad7a-063bcc48cb4c,Discret. Math. Algorithms Appl.
b25346e5-dc71-405c-b7b1-0628c4034e7b,Inf. Vis.
d60ad225-04d9-4755-908a-ab9c0e19b3cf,Int. J. Multim. Inf. Retr.
8c80185a-9655-4d9b-a4ba-3086b5083cd2,Proc. ACM Program. Lang.
987cecb6-8e7d-4b19-b51e-c3b87800e8b2,Int. J. Comput. Vis.
4a71891d-490b-442a-ab75-ef65c441365e,IEEE Trans. Medical Imaging
cbb3d225-18cc-4d3e-8d9d-b1e9e1734fa4,IEEE Trans. Commun.
b9b13b78-c4ef-4bef-b07b-ac09af18fe3d,Eng. Appl. Artif. Intell.
6e732006-008d-4438-aff3-79c203a0960c,Datenschutz und Datensicherheit
1beef999-fd0b-4dcb-a879-bb4fe0091b02,SIAM J. Numer. Anal.
ea677f53-bffb-450b-82f9-694c13048394,Int. J. Manuf. Technol. Manag.
40c0e636-6447-4fd2-9ab9-3e1eba0a2958,J. Syst. Archit.
b5729a23-2048-403d-bc65-c7f20b472125,Eur. J. Oper. Res.
5a19deb5-4ac9-4714-9cf8-24120314ec14,Neurocomputing
d3a492a9-dd92-4524-add6-44234894b835,Signal Image Video Process.
6827af05-3ab4-4d89-a223-ad0cf866a671,IEEE Access
6ec56126-b79c-481c-8f27-5dfce9af3eab,Int. J. Inf. Technol. Manag.
72142b97-a864-47b3-b887-9f37c200043f,Secur. Informatics
adaa42a9-fee7-4812-987f-80c4669be874,Genet. Program. Evolvable Mach.
5e3ac39e-5c75-4432-9321-4872af577105,Int. J. Circuit Theory Appl.
7cf4d509-422b-4a6b-8941-8c5d1ea05057,IEEE Trans. Inf. Theory
798ec125-98ef-4c21-98c5-7cb89e057bf1,Appl. Soft Comput.
d5073ea2-2734-472d-8b2f-2765e83b1632,PLoS Comput. Biol.
91be0f90-88b4-43fe-a61d-d7a5849fc108,Trans. Comput. Sci.
dac432b2-10d1-49bf-82ff-36515b9c1b75,BMC Bioinform.
3415789b-d83d-45e0-be62-e48861542100,计算机科学
8f9fccd6-2621-46a4-84fd-26755ea2a2fb,Sensors
71ecdc32-fe54-49eb-9a68-89880bf9c6be,IEEE ACM Trans. Audio Speech Lang. Process.
dab36919-ffd6-4a94-be18-d7a989e47a66,Eur. J. Comb.
5c837b96-37d2-463a-b6cb-add9a4fd5c5a,J. Organ. Comput. Electron. Commer.
6d0d38d3-06a2-409e-9cd5-ca9b855bf14c,ACM Trans. Design Autom. Electr. Syst.
9e26e015-c548-4671-a99e-2677475c8429,Ann. Oper. Res.
5961cfac-3e07-4a18-a9bf-09159b919f68,Int. J. Bus. Inf. Syst.
0c719b62-f0f6-41d7-96d6-0d36d420f5ca,Signal Process.
289bf261-0601-4c59-94de-1852e0a677cd,Trans. Inst. Meas. Control
d95bb8ac-5b3d-4051-bc93-137ada04834f,J. Informetrics
49337afa-e045-4d70-8e59-898ba4f5bc7b,J. Assoc. Inf. Sci. Technol.
f169d4ff-8d7f-4044-885c-cb7a923f3b0f,Artif. Life Robotics
b0f1fedd-0942-4437-9e77-c712214a9c5b,Remote. Sens.
b60911a6-31b2-4fe8-9b66-955bb279e4d6,Wirel. Pers. Commun.
47b9b2cf-3436-410e-bca9-6cf616f673c0,Discret. Optim.
ac21ccf2-3346-484c-87c6-e3cc580e7194,Asymptot. Anal.
05ad60a3-ed99-4648-b28c-8769d9c80e63,Bioinform.
c28312a3-0581-470a-8b3a-0e1010681019,J. King Saud Univ. Comput. Inf. Sci.
bd83b6e8-6d37-4f77-809b-825683f85b8e,IEEE Trans. Veh. Technol.
8bbb16e0-23d4-4a70-a8a9-7af875191c1e,J. Syst. Softw.
b8b3825d-525e-4989-a1d8-93a15cd6f627,IEICE Trans. Fundam. Electron. Commun. Comput. Sci.
a0401236-cc94-4e0b-8229-a4fb1c2491d5,Comput. Syst. Sci. Eng.
1ed540b2-c743-4470-9c40-711b8f13f820,Discret. Math.
b39cafa3-9a21-4aef-aeb4-28b5b15b88c6,J. Comput. Aided Mol. Des.
aa1cd36d-5f19-46c1-aad7-a99b2e5563a3,J. Glob. Optim.
ce0f029f-a493-4e52-b5e9-43dd279d5640,Math. Struct. Comput. Sci.
f0eeac22-5b4f-4056-9e46-0ab91552acd5,J. Multivar. Anal.
506d7d70-0689-4fc3-b5fe-4823753ded08,Soft Comput.
776e8ed1-c570-471b-b691-86a7b4eed736,Pattern Recognit. Lett.
b3ae93d4-c3ef-4404-aa69-858e67a93735,Entropy
45bdb505-c2b6-4656-9bbc-ba4925124dde,J. Appl. Math.
fed1599b-4900-4819-abae-d2b460d51972,Trans. Assoc. Comput. Linguistics
56eba955-7659-44fa-b2c0-eab8f36ea527,Comput. Electron. Agric.
9e0cf1d1-aa9f-443b-92e7-210fde1670f1,Biol. Cybern.
5a197bd0-1b32-4553-bbbe-8d96a1980e7f,Inf. Sci.
3c24b2b4-9636-4a7a-ad0f-5c51cb40f0c3,J. Community Informatics
2ad9ff33-e888-45e5-a84d-21cbf95c0e37,Int. J. Control
f9eeab7b-080d-4301-8145-f7b57ed2414e,PeerJ Comput. Sci.
12aa1cee-29f9-43cb-82a0-457fd684f3f0,IEEE Veh. Technol. Mag.
0658dbc1-61f9-474e-8bcb-3c1063e29fde,J. Syst. Inf. Technol.
771ecec2-9848-4e93-834f-e900125ea841,BMC Medical Informatics Decis. Mak.
be96d64f-d928-4b91-a0f2-fcf0fd828114,Int. J. Pattern Recognit. Artif. Intell.
788ebd97-72e1-4519-aa20-c8b0a440fff1,login Usenix Mag.
bec30e40-9a12-4399-95cd-c7cbcfbe5469,IEEE Trans. Intell. Transp. Syst.
f5853e14-285a-49ac-bdca-e5b81e41e60b,Neural Comput. Appl.
0d103199-d3b1-4709-86d2-75341656fb36,Autom.
29412611-1527-4dbc-8c35-23bc5b13c56b,J. Mach. Learn. Res.
3a56b3fb-3a58-4f2c-a0a5-3c23b0b0cb47,J. Comput. Phys.
39b26450-c02c-44a0-8339-0166f80fdce8,SIAM J. Discret. Math.
405f8036-2dbb-466a-852b-461671fb711f,IEEE Trans. Fuzzy Syst.
2bb45363-dcd3-4572-935c-9289e37a9178,Appl. Math. Comput.
c652f678-ae51-4085-9036-14f37994cc57,Math. Program.
af6cccdc-10d7-467b-aa2b-32893987bf5c,IEEE Trans. Circuits Syst. Video Technol.
beddae8b-ae58-4d26-a18c-df6a4fe0eb82,J. Inf. Process. Syst.
c7697efc-575a-42fc-b7db-a7bba88beae6,EURASIP J. Adv. Signal Process.
39798ab3-0dc9-4935-aa2b-34061f16505a,ACM Trans. Program. Lang. Syst.
5b61f2c1-0932-4c4c-aa2f-1adfe9312b18,IET Circuits Devices Syst.
16ea1b37-0953-4109-897b-4864807faa27,J. Documentation
e87ffa5b-a3a5-41d9-b026-458d7cef60e1,Künstliche Intell.
07d131fc-cafc-4e3c-aeb9-837b07607ac1,Reliab. Eng. Syst. Saf.
f049b323-e73a-4a0f-8a8f-55334572d214,IEEE Trans. Robotics Autom.
2ff4ee79-8bd7-414a-99d3-0c128f584722,Inf. Process. Lett.
4d6ff273-72a1-418b-b44d-a35eeb000d55,Oper. Res.
acc3eedf-64f3-46d5-bd7d-7b581be3eb8b,Comput. Networks
befd9992-9622-41bb-b2e2-7a8f485bf698,J. Geogr. Syst.
f91f7d51-bcab-44bd-9edf-4bab27a2cf41,Int. J. Appl. Metaheuristic Comput.
a622d523-b29b-440c-b5f3-5ea9b9949dcb,IMPACT Comput. Sci. Eng.
6e58469c-7709-4847-a35d-8d0ea2fc0793,Inf. Process. Manag.
91d844aa-dc38-43e3-8a1e-9a74c3afaad3,Log. Methods Comput. Sci.
51442e74-5293-4c4d-b1ea-e6d21fef8d45,Data
858a91de-e218-429e-8953-12e84e07efd7,Int. J. Secur. Networks
2f85c42b-4e94-4c50-90bc-c7a5d6732c6f,J. Comput. Chem.
c250d7f1-efa2-4e9d-8fdd-614448d681d1,Inf. Softw. Technol.
4a974be2-3569-4c9b-8f4a-7840cf8e2142,IEEE Internet Things J.
23589691-e527-4d19-9934-f08a1d079b4c,IEEE Commun. Lett.
44713bec-9aab-4ba6-a742-e006d23c7e7e,Symmetry
8ad4ea69-0196-417d-92e2-2c51cde88524,IACR Cryptol. ePrint Arch.
8e682498-bec8-4089-aaa2-b24471800c1e,IEEE Trans. Neural Networks Learn. Syst.
a13605ac-38ef-4932-be1a-61612ac71952,Commun. ACM
44d0e553-c66d-44f1-ad87-70a99a2411bc,J. Comb. Optim.
b6d98d3a-e293-4a5e-a997-4bcbfcea0558,Clust. Comput.
2aa62a10-b698-40a9-bc22-eccbb0f88904,Adv. Complex Syst.
4306b2dd-ef4a-41fc-b27c-d88f138b9ffc,IEEE Trans. Signal Process.
edf71ee5-51b6-48e6-8389-b231ce80e14b,Int. J. Comput. Assist. Radiol. Surg.
78975282-7207-4f65-af73-143f9a25fb2d,J. Electronic Imaging
46321c18-6d9a-4095-9d41-4642d7f2544b,Electron. J. Comb.
f6a1f5fe-583c-41b6-9e64-d0736b5a4448,Neural Comput.
7ba7083a-9fb5-4c82-aa88-0148d2ab0acf,J. Univers. Comput. Sci.
16d4b3ef-0113-4e1e-945b-1621608c5b09,Math. Comput. Simul.
127804d8-5589-4d25-89b6-078b31e17e0e,Lang. Linguistics Compass
1077fe4d-b765-476b-841f-51468b39b724,Int. J. Medical Informatics
640bd19b-ad1f-4908-adc7-ac5753c3f255,Wirel. Commun. Mob. Comput.
b1069d69-3278-4cd3-90b7-577175af38cd,Proc. IEEE
a851a4bb-6725-49a1-8859-1b33b26f9e8a,IEEE Trans. Autom. Control.
e200916e-dc08-461a-9931-88361d672010,Educ. Inf. Technol.
b1163fe5-17a6-4e5b-91fb-c9001c776c90,IEEE Trans. Image Process.
6de6578c-115e-44f8-a184-a6976584623b,J. Optim. Theory Appl.
f8ef7975-3578-4f57-890e-53d0b9ce414a,Virtual Real. Intell. Hardw.
d4f6c31f-8bda-4d47-9205-54e39195d051,SIAM J. Optim.
7bb6e550-049e-4d9a-9c51-b3a0628d70d2,IEEE Trans. Knowl. Data Eng.
6619c4b1-faad-41d5-8481-50c736d69a4b,Math. Found. Comput.
1233a319-9fa9-45dd-a549-421a880587fe,Math. Oper. Res.
2cac443a-5a6f-4950-9416-f384f7f17a94,Math. Comput.
e1e2e5c9-116f-414e-9112-dba4078ce6e8,NeuroImage
1dbbc114-725a-47d4-aa60-8acb03691495,J. Bioinform. Comput. Biol.
30f286a0-4cd8-498b-944a-8a810f00a3ed,Comput. Educ. Artif. Intell.
86eea1a5-589d-469c-8b5f-56ab1200dbdd,Appl. Artif. Intell.
6d7b1101-4086-40e7-890c-98805e0aa522,J. Imaging
b322ef94-3dbf-47f2-9ebf-930858bc3038,Finite Fields Their Appl.
6a6417f6-5d2b-4d6c-bd9a-31a9eed18b8f,IEEE Micro
3766159d-d94d-4352-a5b0-0a745f9d9d6d,Theor. Comput. Sci.
e3de5cdd-6583-460d-ba35-91e6be153599,IEEE Trans. Neural Networks
bef8f9ad-fa57-4256-95b0-57f47df6d6c2,GetMobile Mob. Comput. Commun.
0f06ec78-4c0a-413f-bdf2-0faf2bdaffac,IEEE Trans. Smart Grid
d58841dc-f01b-470b-af85-6609df1368c7,J. Inf. Sci.
5c138125-ea1b-4c4f-9722-7e3136bd2d79,Expert Syst. Appl.
0b19821a-646a-4a23-a75e-6807f599ffe6,IEEE J. Solid State Circuits
d43f0071-9929-4909-9f2d-0f70589c05f7,Electron. Notes Discret. Math.
ef8d5c95-57c8-4def-b112-5539578ce925,Ann. UMCS Informatica
2f54f71b-cf34-4a04-bd66-3ee11c3fc030,Int. J. Enterp. Inf. Syst.
0da70b8a-7b5c-42d2-8f6d-30899a107153,Algorithmica
083a00ed-7c4d-4d73-9fe3-4dc2753b9861,J. Comput. Inf. Sci. Eng.
6da7200d-6bdc-497f-be38-dfe132d0f06c,Int. J. Hum. Comput. Interact.
5a07ae2f-412f-47be-a4ae-3b208dd2ea9c,IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.
a425d893-2ad5-445a-8b81-7472bb88da7c,Comput. Aided Des.
4a1bf429-3885-42a3-8da3-ca935e327381,Kybernetes
8b1aa73e-9cfa-4e2a-8b06-8077e65a19fb,Int. J. Approx. Reason.
5bdc273e-531b-412e-85c1-786521991a4e,Games
7c3ea020-0ad1-4964-a313-196693bb6ec2,Simul.
d03d75d2-741a-4134-ac61-6f223bcbec55,IEEE Computer Graphics and Applications
492aaf1b-a330-4fbb-9e22-9fe6c2769b4b,Perform. Evaluation
a12537b4-5a5c-4246-8ba1-933c631e1663,Int. J. Mach. Learn. Cybern.
97e8d7e6-05f1-4f3c-acbc-9b2915c454c8,Internet Res.
31e6212c-2ab5-4d3e-a8c5-88389632add9,Comput. Educ.
129a0563-a52f-4308-9ce6-c080396731fa,IEEE Trans. Software Eng.
f0715770-8cda-4f50-881d-99daeb4d7086,Microelectron. Reliab.
d44da74a-a67e-4ad1-b2e6-f27244ee51cf,IEEE Trans. Educ.
3c750345-6b66-46a5-b47d-da35eac9be2f,Behav. Inf. Technol.
d5df4846-40b8-4b19-8ba6-773143413882,Intell. Autom. Soft Comput.
38ae09ac-8317-422a-86bf-b3a6e90c7c81,Comput. Ind. Eng.
b42a35b4-86a6-469c-9a7d-1c072dbfa6b8,J. Ambient Intell. Humaniz. Comput.
c31ffddb-1ad4-417e-b366-03e0f25cfcd5,SIGCAS Comput. Soc.
c464554a-4a59-4fda-90ea-18f5f8869858,Informatica (Slovenia)
45a3d79d-d77e-4027-9e69-69acc807b2e5,J. Inf. Technol. Res.
1070746b-2289-40bb-b385-8544e285a993,SIAM J. Appl. Math.
d81284e3-2519-4df7-ba8d-2895a9372c97,MIS Q.
133febb9-6efc-4daa-b5c7-3a05d4621623,IEEE Trans. Ind. Electron.
66e43286-8b67-482a-9e51-97a56565e46e,ACM J. Data Inf. Qual.
6fed6dca-bee9-4037-8f43-0a47c2c6f407,IEEE Multim.
8b15c6ad-2ad2-41d7-9e20-616d2ebc08e9,IEEE Comput. Intell. Mag.
643e22b1-ba3d-42b7-98db-14e41783d604,Comput. Medical Imaging Graph.
8ef6561f-ea71-4e5a-8bc7-17c2efb814f7,J. Digit. Inf. Manag.
93351597-4d0b-48cf-a465-75fc26b1e8f7,Interactions
296d6355-0469-441a-9e09-c6c3cedaecf3,"J. Comb. Theory, Ser. A"
93e19251-1f45-438f-8816-d17cf478eff3,Fundam. Informaticae
53ffeda3-9436-49f9-985f-331bef4646fe,IEEE Trans. Wirel. Commun.
2f5965f0-51bb-4842-8b2d-0cafc7c52f6c,Microprocess. Microprogramming
dea6b272-4414-4c5b-b389-fca70778c4ed,IEEE Trans. Very Large Scale Integr. Syst.
6411c441-8a28-416a-91c8-4fb4a1c09795,J. Comput. Assist. Learn.
40adee2e-3740-473c-b6d6-529a95e0a3e9,J. Netw. Syst. Manag.
f87cad34-be5f-4b07-8fc5-0b1b05a792da,Environ. Model. Softw.
83e68b7c-c65a-4c11-afa6-4332f11d531e,Comput. Graph. Forum
a7a20b01-9ccd-4e32-b674-f67525d8ebb2,Inf. Soc.
0fb97b9c-2c7a-48d9-99a5-8885afec90d1,IEEE Trans. Syst. Man Cybern. Part B
2eebcd45-5665-4749-803d-16ccecad9daf,Int. J. Syst. Sci.
68580965-e458-4d96-bfaf-73b501c42c1b,SIAM J. Math. Anal.
a3c592bc-f25f-4a95-8bf2-e9436ac208d3,Graphs Comb.
78285c61-1962-4414-a828-a1c2e7990fa2,Int. J. Comput. Intell. Syst.
145aec7f-5b74-4ade-a735-e9644a3c581d,IEEE Signal Process. Lett.
34587c18-2a25-418e-a93b-b61ae8b0d2cd,Eur. J. Inf. Syst.
69ab10d3-5783-4bd5-bfee-fdc07d011026,SIAM J. Control. Optim.
73547884-6d46-487b-9d30-1a364c98c763,IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.
da8d858c-c299-4630-8ecb-8cd1d40bc60c,Signal Process. Image Commun.
5becae67-68a6-4a6b-84b2-e16249444f5d,Fuzzy Sets Syst.
4892ee29-31a5-4aff-95c8-33c9b5c11903,IEEE Pervasive Comput.
e40865e9-fabb-4e28-a780-9f6f0b01709d,IET Softw.
d6a12674-b1be-4412-b9da-bcab454283ff,Discret. Comput. Geom.
166c0b4e-bf25-4289-83b7-5d49d0f8c8bb,IEEE Trans. Instrum. Meas.
58556d64-5e1e-423a-9891-3a81caecfd13,IEICE Trans. Commun.
67839b30-b11f-445e-bbeb-496d4f57d1ab,Quant. Biol.
4f6960db-da79-4bbc-8576-54bbc6e60049,J. Comput. Virol. Hacking Tech.
2f005dd5-fe94-49ff-81d3-f9e2a4549460,IET Commun.
2b189cf4-893b-4f1d-bc1e-f426eb3bfa20,J. Syst. Sci. Complex.
a3ce6c9a-15f4-4ec6-951e-3cd04c77242a,Microprocess. Microsystems
f3b9356a-babd-45e0-b462-0ae5cb488b59,Int. J. Geogr. Inf. Sci.
ca475e5a-9b0f-46ce-b38d-a1d2be763e3f,Int. Arab. J. e Technol.
d8162797-1296-48ed-ab90-e75cb35cef24,SIGMOD Rec.
d57f9363-7120-4e48-9bfd-ed12c1ec6f3c,Data Sci. J.
86eb93f5-cde6-4df6-8546-57c24df13c7d,Complex.
209bdced-e144-49cb-a770-c0af7bd5467d,Internet Technol. Lett.
8def9f11-8fe6-4caa-98b0-9188e89bb0d4,Bull. dInformatique Approfondie et Appl.
bbb9b2ea-3fe0-4b5e-9fa1-b7e1a3fcfc1b,IEEE Trans. Ind. Informatics
714dca1d-bfa4-4acd-a769-e89e714d556d,Comput. Animat. Virtual Worlds
adea0dad-c88a-449c-922f-50f888356003,Electron. Libr.
90fb4311-85eb-4425-9823-5b0fca2afdc2,Kybernetika
386b5a75-a7d4-4417-91c4-e973cd4236d2,SN Comput. Sci.
